Village_Code,District,Village_Name,main_occupation,employment_rate,average_income_per_household,poverty_rate,access_to_credit
98,Vizianagaram,Lisapalli,Mixed,75.85,39417,11.12,Yes - Microfinance
99,Nellore,Jorgepalli,Service,88.41,39494,44.6,Yes - Bank
100,East Godavari,Vanessapalli,Mixed,45.79,47143,26.21,Yes - Microfinance
101,Prakasam,Amberpalli,Service,66.7,5145,7.88,Yes - Bank
102,West Godavari,Jeffpalli,Agriculture,94.91,9679,7.22,Yes - Bank
103,Prakasam,Robertpalli,Agriculture,42.73,25319,50.4,Yes - Microfinance
104,Visakhapatnam,Jonpalli,Labor,40.25,38934,25.81,Yes - Microfinance
105,Krishna,Richardpalli,Business,47.85,5815,30.6,No
106,Srikakulam,Calvinpalli,Service,51.61,34451,58.27,No
107,Krishna,Jamespalli,Agriculture,62.84,23076,26.62,No
108,Krishna,Marissapalli,Agriculture,77.57,32922,30.6,Yes - Microfinance
109,Chittoor,Mitchellpalli,Service,41.17,48248,44.1,No
110,Anantapur,Robertpalli,Labor,66.93,43354,44.96,Yes - Microfinance
111,Anantapur,Michaelpalli,Labor,50.81,6057,8.04,Yes - Bank
112,YSR Kadapa,Nicholaspalli,Agriculture,72.88,47743,23.84,Yes - Bank
113,Kurnool,Sarahpalli,Service,94.63,42039,45.21,No
114,East Godavari,Alexispalli,Mixed,54.35,32247,7.78,Yes - Microfinance
115,East Godavari,Amandapalli,Service,74.34,24922,25.97,Yes - Microfinance
116,West Godavari,Douglaspalli,Labor,46.41,31104,50.82,Yes - Microfinance
117,Kurnool,Jamespalli,Service,79.84,42546,59.1,Yes - Microfinance
118,Vizianagaram,Melaniepalli,Mixed,56.6,16707,59.42,No
119,YSR Kadapa,Crystalpalli,Mixed,52.15,49946,42.66,Yes - Microfinance
120,Guntur,Michellepalli,Business,61.01,39885,14.28,No
121,East Godavari,Bradleypalli,Labor,49.41,27411,22.08,Yes - Bank
122,Guntur,Kylepalli,Business,53.64,48186,51.45,Yes - Bank
123,Nellore,Brendapalli,Labor,46.12,24871,31.06,No
124,Vizianagaram,Melindapalli,Business,87.74,31997,33.14,No
125,Visakhapatnam,Sarahpalli,Mixed,85.17,40979,10.36,Yes - Microfinance
126,Chittoor,Lisapalli,Business,77.8,5444,22.63,Yes - Microfinance
127,Vizianagaram,Russellpalli,Business,63.0,20862,14.23,Yes - Microfinance
128,East Godavari,Jakepalli,Mixed,84.69,30777,36.9,Yes - Bank
129,Chittoor,Juliapalli,Service,45.49,31971,17.26,No
130,East Godavari,Tracypalli,Labor,50.07,49491,14.6,Yes - Microfinance
131,Chittoor,Brettpalli,Service,48.73,47239,51.64,Yes - Bank
132,Kurnool,Yolandapalli,Labor,66.18,36956,46.81,Yes - Microfinance
133,Vizianagaram,Lisapalli,Service,67.84,18463,32.97,No
134,Srikakulam,Melissapalli,Mixed,49.05,31852,17.94,No
135,West Godavari,Taylorpalli,Mixed,92.79,44183,9.32,Yes - Bank
136,East Godavari,Briannapalli,Service,90.37,13943,26.31,Yes - Bank
137,Srikakulam,Jonathanpalli,Mixed,66.32,32354,19.92,Yes - Microfinance
138,Srikakulam,Andrewpalli,Labor,85.55,23182,32.01,Yes - Microfinance
139,Visakhapatnam,Lancepalli,Agriculture,73.66,9513,24.09,Yes - Bank
140,Vizianagaram,Jamespalli,Business,85.63,30278,9.27,Yes - Bank
141,Kurnool,Donaldpalli,Service,47.97,41101,34.09,Yes - Microfinance
142,Visakhapatnam,Melissapalli,Service,58.68,8971,17.44,No
143,Visakhapatnam,Shellypalli,Mixed,62.2,30149,35.71,Yes - Bank
144,Vizianagaram,Reneepalli,Labor,73.76,33600,23.46,Yes - Bank
145,Guntur,Johnpalli,Labor,94.4,20112,25.01,No
146,YSR Kadapa,Davidpalli,Business,63.16,11666,57.23,No
147,West Godavari,Jessicapalli,Labor,46.66,31461,36.95,Yes - Bank
148,Prakasam,Bryanpalli,Labor,40.63,15723,51.36,Yes - Microfinance
149,Visakhapatnam,Robertpalli,Business,53.17,14078,47.95,Yes - Bank
150,Chittoor,Sheilapalli,Service,61.88,33695,32.16,Yes - Microfinance
151,Prakasam,Sharonpalli,Labor,45.96,9555,54.31,Yes - Microfinance
152,Prakasam,Margaretpalli,Business,94.36,17821,44.33,Yes - Bank
153,West Godavari,Mauricepalli,Agriculture,76.56,30620,17.66,No
154,YSR Kadapa,Denisepalli,Agriculture,64.68,39396,46.77,No
155,Vizianagaram,Thomaspalli,Labor,78.92,9123,25.97,Yes - Microfinance
156,West Godavari,Emilypalli,Labor,60.45,28645,24.94,Yes - Microfinance
157,Vizianagaram,Jenniferpalli,Labor,59.51,30249,52.13,No
158,Visakhapatnam,Scottpalli,Business,70.83,10277,50.22,Yes - Bank
159,Prakasam,Williampalli,Business,45.88,8804,42.59,Yes - Bank
160,Guntur,Cindypalli,Agriculture,91.95,27134,18.79,No
161,Anantapur,Aaronpalli,Agriculture,92.49,47043,32.13,Yes - Bank
162,Prakasam,Marypalli,Agriculture,59.49,3470,5.69,Yes - Bank
163,Guntur,Jonathanpalli,Labor,89.87,11571,20.18,Yes - Microfinance
164,Anantapur,Richardpalli,Service,55.57,3598,46.48,Yes - Microfinance
165,Guntur,Jopalli,Agriculture,72.15,16250,32.53,No
166,Kurnool,Jackpalli,Agriculture,42.99,42672,24.44,Yes - Microfinance
167,Srikakulam,Brianapalli,Mixed,52.41,30378,35.76,Yes - Microfinance
168,Chittoor,Suzannepalli,Service,60.64,19264,15.42,No
169,Anantapur,Vanessapalli,Business,73.82,40783,15.96,Yes - Bank
170,Chittoor,Robinpalli,Agriculture,54.41,49541,24.09,Yes - Bank
171,Vizianagaram,Tarapalli,Labor,63.4,33399,39.37,Yes - Bank
172,Kurnool,Jessepalli,Mixed,89.8,26696,6.43,No
173,Krishna,Jonathonpalli,Service,87.24,36850,11.22,Yes - Microfinance
174,Nellore,Jessicapalli,Labor,68.63,19488,9.19,Yes - Microfinance
175,YSR Kadapa,Michaelpalli,Labor,75.18,29292,53.56,Yes - Bank
176,Guntur,Sandypalli,Mixed,61.56,19905,7.23,Yes - Bank
177,Visakhapatnam,Margaretpalli,Service,50.6,15879,52.71,No
178,YSR Kadapa,Jenniferpalli,Agriculture,52.89,38922,57.68,Yes - Bank
179,Krishna,Ericpalli,Mixed,60.06,42728,29.24,No
180,Visakhapatnam,Amandapalli,Labor,85.12,42610,34.5,Yes - Microfinance
181,East Godavari,Christinapalli,Business,62.47,45896,59.47,No
182,YSR Kadapa,Ericpalli,Labor,89.16,32794,58.62,Yes - Microfinance
183,Visakhapatnam,Paulpalli,Labor,42.93,37901,51.45,Yes - Bank
184,Chittoor,Jamespalli,Mixed,66.96,38808,29.83,Yes - Microfinance
185,Visakhapatnam,Jillpalli,Labor,68.13,4622,7.47,No
186,Anantapur,Samuelpalli,Business,70.55,42531,50.91,No
187,Nellore,Kathrynpalli,Labor,61.68,13368,51.58,Yes - Bank
188,Guntur,Douglaspalli,Service,51.91,44838,41.88,No
189,Srikakulam,Karenpalli,Business,60.31,39926,32.03,Yes - Microfinance
190,Visakhapatnam,Robinpalli,Mixed,49.36,33402,52.38,No
191,Guntur,Emilypalli,Business,92.19,30196,29.14,No
192,Srikakulam,Jessicapalli,Service,92.51,30889,25.42,Yes - Microfinance
193,West Godavari,Markpalli,Service,60.32,34814,47.32,Yes - Microfinance
194,Kurnool,Thomaspalli,Agriculture,53.94,28603,42.08,Yes - Bank
195,Vizianagaram,Jasminepalli,Service,45.45,32614,38.37,Yes - Microfinance
196,Guntur,Troypalli,Mixed,41.44,21938,17.63,No
197,Prakasam,Chloepalli,Agriculture,92.02,33195,36.45,Yes - Bank
198,Chittoor,Shannonpalli,Mixed,50.4,45247,12.29,Yes - Bank
199,Guntur,Jeremypalli,Business,42.32,18137,42.02,Yes - Bank
200,Vizianagaram,Ericpalli,Mixed,60.21,13064,42.09,Yes - Bank
201,Kurnool,Scottpalli,Agriculture,56.51,6242,43.99,No
202,East Godavari,Sharipalli,Labor,86.15,17245,48.75,Yes - Bank
203,Vizianagaram,Margaretpalli,Agriculture,82.62,15169,41.71,Yes - Microfinance
204,Krishna,Alisonpalli,Agriculture,42.93,8318,28.71,Yes - Microfinance
205,Srikakulam,Patrickpalli,Business,71.99,23044,32.04,Yes - Microfinance
206,Nellore,Kaitlynpalli,Agriculture,65.52,12389,28.53,Yes - Microfinance
207,Visakhapatnam,Lindseypalli,Business,67.42,30493,45.0,Yes - Microfinance
208,Vizianagaram,Christopherpalli,Business,73.2,20391,50.21,No
209,Chittoor,Michellepalli,Business,72.33,3468,39.02,Yes - Bank
210,East Godavari,Rachelpalli,Agriculture,59.84,4704,23.59,Yes - Bank
211,Prakasam,Meganpalli,Business,88.71,33872,41.2,Yes - Bank
212,Chittoor,Danielpalli,Agriculture,42.3,45735,46.97,No
213,West Godavari,Amandapalli,Service,68.79,39874,53.04,No
214,YSR Kadapa,Joshuapalli,Agriculture,80.33,30731,7.46,Yes - Bank
215,Kurnool,Barbarapalli,Business,64.07,23359,49.78,Yes - Bank
216,East Godavari,Michellepalli,Labor,53.27,16157,25.03,Yes - Microfinance
217,Kurnool,Robertpalli,Labor,90.34,28487,50.93,Yes - Microfinance
218,Kurnool,Kathleenpalli,Business,94.14,20370,54.32,No
219,Visakhapatnam,Kevinpalli,Labor,76.58,46620,54.06,Yes - Microfinance
220,YSR Kadapa,Tylerpalli,Labor,56.23,5661,33.46,Yes - Microfinance
221,Nellore,Andreapalli,Business,41.71,6965,45.33,No
222,Vizianagaram,Michaelpalli,Mixed,74.25,23902,44.44,Yes - Microfinance
223,YSR Kadapa,Derekpalli,Mixed,58.97,30119,30.91,No
224,Vizianagaram,Lisapalli,Labor,67.64,39113,21.13,Yes - Bank
225,Krishna,Donnapalli,Labor,70.67,18221,21.46,Yes - Bank
226,Prakasam,Andrewpalli,Mixed,60.22,32190,24.02,No
227,Guntur,Lauriepalli,Mixed,47.16,40428,22.81,Yes - Bank
228,East Godavari,Josephpalli,Business,89.81,30108,43.32,Yes - Microfinance
229,Visakhapatnam,Joannapalli,Agriculture,68.02,7602,55.97,No
230,Anantapur,Aprilpalli,Business,61.81,3383,12.53,No
231,Anantapur,Jimmypalli,Mixed,85.62,23031,53.22,Yes - Microfinance
232,Visakhapatnam,Amypalli,Labor,90.54,7216,20.94,Yes - Microfinance
233,Prakasam,Latoyapalli,Mixed,49.58,9995,36.35,Yes - Bank
234,Krishna,Chadpalli,Mixed,88.77,14084,53.04,No
235,East Godavari,Morganpalli,Business,66.85,26644,24.55,No
236,Kurnool,Curtispalli,Business,75.86,12258,31.99,No
237,Nellore,Marthapalli,Agriculture,87.95,7376,45.75,Yes - Bank
238,Anantapur,Stevenpalli,Labor,86.21,8425,13.8,Yes - Microfinance
239,Srikakulam,Denisepalli,Business,47.08,18925,20.14,Yes - Microfinance
240,Nellore,Melissapalli,Service,89.03,33263,19.6,Yes - Microfinance
241,Anantapur,Sarahpalli,Business,59.28,23761,18.4,Yes - Bank
242,East Godavari,Richardpalli,Agriculture,78.79,44266,58.95,Yes - Microfinance
243,East Godavari,Jenniferpalli,Labor,77.82,17711,10.63,Yes - Bank
244,Anantapur,Connorpalli,Business,87.16,48283,10.71,No
245,Anantapur,Sarahpalli,Business,56.62,14841,27.33,No
246,Anantapur,Michaelpalli,Labor,62.17,5371,10.54,Yes - Bank
247,YSR Kadapa,Angelapalli,Mixed,84.97,44504,19.75,No
248,Nellore,Triciapalli,Agriculture,79.59,43712,35.2,Yes - Bank
249,Vizianagaram,Robertpalli,Agriculture,88.01,15139,11.99,Yes - Bank
250,Nellore,Ginapalli,Agriculture,62.3,32916,51.74,Yes - Bank
251,Kurnool,Shaunpalli,Service,77.97,10577,29.16,Yes - Bank
252,Srikakulam,Leahpalli,Business,90.65,8903,53.08,Yes - Microfinance
253,Srikakulam,Lesliepalli,Mixed,80.74,24301,48.66,Yes - Bank
254,Guntur,Robertpalli,Labor,45.93,22187,40.56,No
255,Srikakulam,Danielpalli,Service,67.62,32795,43.45,No
256,Kurnool,Jenniferpalli,Business,82.73,17190,17.52,Yes - Bank
257,West Godavari,Elizabethpalli,Business,40.02,7718,57.78,No
258,West Godavari,Raymondpalli,Labor,64.16,44546,48.47,No
259,Vizianagaram,Susanpalli,Service,63.68,21112,33.28,Yes - Microfinance
260,Guntur,Aliciapalli,Agriculture,77.9,6593,24.89,Yes - Microfinance
261,Vizianagaram,Carlpalli,Business,61.48,44623,24.93,Yes - Microfinance
262,Guntur,Andrewpalli,Labor,46.19,35940,53.4,Yes - Bank
263,YSR Kadapa,Christinepalli,Agriculture,88.43,40694,33.62,Yes - Microfinance
264,Visakhapatnam,Shawnpalli,Business,60.71,16492,52.72,Yes - Bank
265,Guntur,Zacharypalli,Business,79.46,43991,48.29,Yes - Microfinance
266,Chittoor,Michaelpalli,Agriculture,83.73,11952,55.62,Yes - Bank
267,Visakhapatnam,Laurapalli,Service,78.98,27686,32.02,Yes - Bank
268,Kurnool,Gabrielapalli,Mixed,64.67,49789,30.74,Yes - Microfinance
269,YSR Kadapa,Allenpalli,Business,80.56,16999,50.34,Yes - Microfinance
270,Vizianagaram,Kristapalli,Business,63.05,21748,33.53,Yes - Bank
271,Vizianagaram,Jasminpalli,Labor,69.17,23759,7.56,Yes - Bank
272,Guntur,Noahpalli,Agriculture,63.97,13477,29.17,Yes - Bank
273,East Godavari,Patriciapalli,Mixed,59.42,37280,37.37,No
274,Prakasam,Andrewpalli,Agriculture,51.37,45635,58.66,No
275,Krishna,Sergiopalli,Service,72.81,42929,42.27,No
276,East Godavari,Donnapalli,Business,77.43,3577,26.22,No
277,Visakhapatnam,Meredithpalli,Agriculture,93.66,33698,17.1,Yes - Bank
278,Nellore,Jamiepalli,Business,42.8,42511,14.37,Yes - Bank
279,Chittoor,Anthonypalli,Service,62.78,49658,43.94,Yes - Microfinance
280,West Godavari,Michelepalli,Service,53.5,47375,41.13,Yes - Microfinance
281,Nellore,Christopherpalli,Service,59.41,45922,58.38,No
282,Nellore,Danielpalli,Agriculture,67.85,42582,11.12,Yes - Bank
283,Prakasam,Stephaniepalli,Service,59.37,35481,52.53,No
284,Anantapur,Christopherpalli,Mixed,80.25,42718,39.06,Yes - Bank
285,Chittoor,Lorettapalli,Service,54.51,4804,44.16,Yes - Bank
286,Vizianagaram,Richardpalli,Mixed,67.15,34380,43.97,Yes - Microfinance
287,Kurnool,Joshuapalli,Agriculture,74.08,6721,39.52,Yes - Microfinance
288,YSR Kadapa,Kennethpalli,Agriculture,40.86,44089,28.67,No
289,YSR Kadapa,Brianpalli,Service,79.99,6933,28.82,Yes - Bank
290,Krishna,Michellepalli,Mixed,51.89,42309,58.38,Yes - Microfinance
291,Anantapur,Cristianpalli,Business,58.36,24476,21.36,Yes - Microfinance
292,Krishna,Carolinepalli,Agriculture,84.04,19471,56.75,Yes - Microfinance
293,West Godavari,Kristenpalli,Agriculture,75.13,38460,21.82,Yes - Microfinance
294,Guntur,Ryanpalli,Mixed,87.67,20771,13.11,Yes - Microfinance
295,Anantapur,Jenniferpalli,Mixed,62.94,42714,54.78,No
296,Nellore,Samanthapalli,Business,55.69,35828,9.9,Yes - Bank
297,West Godavari,Robertpalli,Service,66.8,12345,13.45,Yes - Microfinance
298,Prakasam,Williampalli,Mixed,92.91,39584,55.43,Yes - Bank
299,YSR Kadapa,Anitapalli,Service,48.5,42975,52.76,Yes - Bank
300,Chittoor,Sandypalli,Business,74.59,14503,10.5,Yes - Bank
301,Krishna,Amberpalli,Labor,74.68,3151,23.32,No
302,Kurnool,Jacquelinepalli,Service,66.0,31004,44.66,No
303,YSR Kadapa,Caseypalli,Service,63.46,17864,8.24,Yes - Microfinance
304,West Godavari,Jamespalli,Business,64.89,19453,54.17,Yes - Bank
305,Anantapur,Emilypalli,Mixed,60.49,33159,14.16,Yes - Bank
306,Krishna,Jaredpalli,Labor,65.58,15895,47.63,No
307,Prakasam,Monicapalli,Agriculture,75.14,16046,52.4,Yes - Microfinance
308,West Godavari,Brittneypalli,Agriculture,57.59,38450,59.15,Yes - Bank
309,Nellore,Williampalli,Mixed,56.12,29158,52.54,Yes - Microfinance
310,Krishna,Nicolepalli,Mixed,43.51,43727,35.3,Yes - Bank
311,Vizianagaram,Kellypalli,Mixed,63.25,7058,41.07,Yes - Bank
312,Krishna,Jessicapalli,Labor,72.2,14141,18.43,Yes - Bank
313,Visakhapatnam,Damonpalli,Business,44.43,16565,37.54,Yes - Bank
314,Krishna,Melvinpalli,Service,66.21,10254,50.58,No
315,Nellore,Shannonpalli,Agriculture,91.49,47205,38.15,Yes - Microfinance
316,Anantapur,Davidpalli,Service,78.85,14152,53.5,Yes - Microfinance
317,Prakasam,Anthonypalli,Agriculture,51.58,42300,24.09,Yes - Microfinance
318,West Godavari,Jonathanpalli,Service,45.57,7477,25.15,No
319,Guntur,Danielpalli,Agriculture,90.38,6412,9.66,Yes - Bank
320,Vizianagaram,Annapalli,Mixed,83.44,28806,42.88,No
321,Vizianagaram,Rachelpalli,Mixed,82.03,33333,21.22,No
322,Chittoor,Oscarpalli,Business,73.79,22706,24.25,Yes - Bank
323,Anantapur,Chelseypalli,Mixed,87.82,35674,31.05,Yes - Bank
324,Srikakulam,Brandonpalli,Business,41.14,41563,55.61,No
325,Krishna,Christopherpalli,Service,62.48,14666,39.58,Yes - Microfinance
326,Vizianagaram,Thomaspalli,Labor,42.56,28419,20.86,No
327,Nellore,Jonpalli,Business,79.74,44475,7.81,Yes - Bank
328,Chittoor,Heatherpalli,Agriculture,43.58,15892,32.71,No
329,YSR Kadapa,Samanthapalli,Business,70.24,25878,46.59,No
330,Guntur,Williampalli,Service,63.23,29459,21.51,Yes - Bank
331,Guntur,Timothypalli,Service,69.0,23461,21.49,Yes - Bank
332,YSR Kadapa,Jenniferpalli,Agriculture,72.8,19286,53.15,Yes - Microfinance
333,Vizianagaram,Franciscopalli,Mixed,94.82,25074,27.88,Yes - Microfinance
334,Kurnool,Michaelpalli,Agriculture,69.26,16520,39.78,Yes - Microfinance
335,Visakhapatnam,Timothypalli,Service,67.48,40512,56.11,No
336,Nellore,Sherripalli,Business,59.52,25751,57.02,No
337,Prakasam,Michaelpalli,Labor,65.24,19083,15.81,Yes - Bank
338,Kurnool,Marypalli,Service,79.38,11541,28.7,No
339,Anantapur,Jasonpalli,Business,67.88,48361,5.24,No
340,Prakasam,Briannapalli,Labor,40.36,38559,55.92,Yes - Microfinance
341,Visakhapatnam,Stevenpalli,Agriculture,90.97,21411,47.22,No
342,Vizianagaram,Adrianpalli,Labor,82.89,48229,54.26,Yes - Microfinance
343,East Godavari,Veronicapalli,Business,41.22,30909,26.52,No
344,Srikakulam,Randallpalli,Agriculture,89.28,14769,19.52,No
345,Vizianagaram,Arthurpalli,Mixed,66.26,34876,52.66,Yes - Bank
346,Krishna,Troypalli,Agriculture,68.75,23509,39.27,Yes - Bank
347,Anantapur,Meganpalli,Agriculture,86.28,48973,15.35,Yes - Bank
348,West Godavari,Michellepalli,Agriculture,90.79,8766,10.54,Yes - Microfinance
349,Anantapur,Jamespalli,Labor,77.04,32466,46.15,Yes - Microfinance
350,Anantapur,Marilynpalli,Agriculture,44.88,17710,24.31,No
351,Srikakulam,Amandapalli,Service,79.54,46364,26.61,Yes - Microfinance
352,Anantapur,Jenniferpalli,Mixed,48.18,16135,54.02,Yes - Bank
353,Kurnool,Jacquelinepalli,Mixed,71.99,47920,39.21,Yes - Microfinance
354,Visakhapatnam,Lindsaypalli,Labor,84.16,15794,6.41,Yes - Microfinance
355,YSR Kadapa,Teresapalli,Labor,41.48,31050,56.06,Yes - Bank
356,Guntur,Anthonypalli,Agriculture,65.84,32964,28.19,No
357,Guntur,Michaelpalli,Service,85.3,35338,19.97,No
358,Visakhapatnam,Nathanpalli,Mixed,55.62,22391,14.0,No
359,West Godavari,Dalepalli,Labor,54.69,26530,35.72,Yes - Bank
360,Krishna,Leahpalli,Service,52.61,18494,53.42,Yes - Microfinance
361,Vizianagaram,Samuelpalli,Labor,84.31,43964,40.75,Yes - Bank
362,Nellore,Alexandrapalli,Service,69.21,16068,38.04,No
363,Prakasam,Robertpalli,Agriculture,72.55,11389,37.93,Yes - Microfinance
364,Anantapur,Dariuspalli,Labor,64.14,12877,31.42,Yes - Bank
365,Anantapur,Christopherpalli,Mixed,61.52,15178,57.09,Yes - Microfinance
366,Guntur,Samanthapalli,Labor,64.7,24264,49.65,Yes - Microfinance
