Village_Code,District,Village_Name,Electricity_Access_Percent,Street_Lighting_Percent,Average_Hours_Power_Supply,Transformer_Count,Solar_Power_Implemented,Electricity_Metering_Percent,Power_Outage_Frequency,Recent_Upgrades,Last_Updated,Data_Source,Verified_By
26,Visakhapatnam,Kerrypalli,93,50,21.56439972075884,9,No,90,Low,Yes,2025-08-09,State Electricity Board,Independent Auditor
27,West Godavari,Courtneypalli,92,69,22.38371922198935,10,Yes,87,Low,Yes,2025-08-21,State Electricity Board,Gram Panchayat Officer
28,Guntur,Timothypalli,94,82,23.648422720487424,2,Partial,80,Low,No,2025-07-30,State Electricity Board,Gram Panchayat Officer
29,Anantapur,Jonathanpalli,92,78,22.09186297904246,1,Partial,85,Low,Yes,2025-08-12,State Electricity Board,Independent Auditor
30,Chittoor,Kimberlypalli,89,73,23.516263525209183,6,No,82,High,Yes,2025-08-24,State Electricity Board,District Engineer
31,Vizianagaram,Rebeccapalli,91,58,19.093445305723133,6,Partial,91,Low,Yes,2025-08-19,State Electricity Board,Gram Panchayat Officer
32,Anantapur,Kylepalli,94,94,23.513837146048573,2,No,83,Moderate,Yes,2025-07-28,State Electricity Board,Independent Auditor
33,Nellore,Michellepalli,99,61,23.439033592276623,6,Partial,98,Moderate,No,2025-08-04,State Electricity Board,Independent Auditor
34,Prakasam,Melindapalli,80,52,20.628370118849855,1,No,83,Moderate,Yes,2025-07-28,State Electricity Board,District Engineer
35,Visakhapatnam,Johnpalli,84,88,21.304467203446514,6,Partial,98,High,No,2025-08-04,State Electricity Board,District Engineer
36,Nellore,Kelseypalli,99,64,21.998562399342482,2,Yes,80,Moderate,No,2025-07-25,State Electricity Board,Independent Auditor
37,Visakhapatnam,Dalepalli,89,63,23.819008349063804,1,Yes,98,Low,Yes,2025-08-16,State Electricity Board,Gram Panchayat Officer
38,West Godavari,Kimberlypalli,74,52,23.26972126429586,7,Yes,96,High,No,2025-08-22,State Electricity Board,District Engineer
39,Srikakulam,Josephpalli,87,69,21.76116597414453,2,Yes,100,Moderate,Yes,2025-07-25,State Electricity Board,Independent Auditor
40,East Godavari,Kimberlypalli,81,72,22.559791166337256,4,No,98,Moderate,Yes,2025-08-23,State Electricity Board,Gram Panchayat Officer
41,Krishna,Billypalli,82,54,18.199545982151847,7,No,98,High,Yes,2025-08-04,State Electricity Board,District Engineer
42,Krishna,Pamelapalli,82,86,20.570839000176097,9,Yes,82,High,No,2025-08-02,State Electricity Board,Gram Panchayat Officer
43,Chittoor,Randypalli,85,66,18.264532988293197,4,No,96,Moderate,Yes,2025-08-02,State Electricity Board,District Engineer
44,Nellore,Zacharypalli,91,62,21.421655990851434,5,No,98,High,No,2025-07-28,State Electricity Board,District Engineer
45,Chittoor,Susanpalli,70,50,20.355783037429,8,No,85,Moderate,No,2025-08-24,State Electricity Board,District Engineer
46,East Godavari,Amandapalli,75,90,20.08763309546302,1,Yes,95,Low,No,2025-08-14,State Electricity Board,Gram Panchayat Officer
47,YSR Kadapa,Wesleypalli,74,75,19.101869357490646,2,No,97,Moderate,Yes,2025-08-06,State Electricity Board,District Engineer
48,Nellore,Danielpalli,90,61,21.968948764220997,10,Partial,84,Low,Yes,2025-08-15,State Electricity Board,Gram Panchayat Officer
49,Visakhapatnam,Jenniferpalli,97,56,18.418464035476745,1,Partial,81,High,No,2025-07-29,State Electricity Board,Independent Auditor
50,Nellore,Paigepalli,71,72,19.465711757791873,9,Partial,93,High,No,2025-08-17,State Electricity Board,District Engineer
51,Srikakulam,Jocelynpalli,74,57,18.53031748759863,7,No,87,Low,Yes,2025-08-15,State Electricity Board,Independent Auditor
52,Srikakulam,Codypalli,80,79,20.00449797902571,10,Partial,97,Moderate,No,2025-07-28,State Electricity Board,Independent Auditor
53,Kurnool,Robertpalli,97,61,18.52636104096436,10,Partial,98,Moderate,No,2025-08-19,State Electricity Board,Gram Panchayat Officer
54,Krishna,Amberpalli,71,64,23.71950753822167,4,No,85,Low,Yes,2025-08-10,State Electricity Board,Gram Panchayat Officer
55,Krishna,Dianepalli,81,83,19.119231644767716,5,No,94,Low,Yes,2025-08-24,State Electricity Board,Gram Panchayat Officer
56,Vizianagaram,Josephpalli,73,55,22.806918621551347,3,Yes,97,Low,Yes,2025-08-18,State Electricity Board,Gram Panchayat Officer
57,Chittoor,Victorpalli,92,60,18.593847944454918,10,Partial,85,Low,No,2025-07-26,State Electricity Board,Independent Auditor
58,Vizianagaram,Timothypalli,95,57,21.13352383253801,8,Partial,80,High,No,2025-08-06,State Electricity Board,District Engineer
59,Kurnool,Glennpalli,83,56,22.636815329435372,9,No,86,High,No,2025-08-14,State Electricity Board,Independent Auditor
60,Visakhapatnam,Shannonpalli,87,55,22.381980147445557,6,Partial,94,High,No,2025-08-19,State Electricity Board,Independent Auditor
61,Kurnool,Katiepalli,92,56,20.29031849902926,9,Yes,81,Moderate,Yes,2025-08-09,State Electricity Board,Independent Auditor
62,Vizianagaram,Debbiepalli,94,94,21.623243310663703,4,Yes,97,Moderate,Yes,2025-08-08,State Electricity Board,Independent Auditor
63,Srikakulam,Toddpalli,85,61,22.822234936463737,5,No,89,Low,Yes,2025-08-08,State Electricity Board,District Engineer
64,Anantapur,Bettypalli,75,96,22.523956528757754,3,Yes,81,Low,Yes,2025-08-05,State Electricity Board,Gram Panchayat Officer
65,West Godavari,Jasonpalli,87,58,21.751632344422692,4,Yes,84,Low,No,2025-08-22,State Electricity Board,Gram Panchayat Officer
66,Vizianagaram,Toddpalli,78,81,23.924417910520482,4,Partial,84,High,Yes,2025-08-22,State Electricity Board,Gram Panchayat Officer
67,Nellore,Nicolepalli,100,73,21.463645961989915,4,Partial,80,High,Yes,2025-08-01,State Electricity Board,Independent Auditor
68,YSR Kadapa,Davidpalli,93,50,18.7654840366296,4,Yes,88,High,Yes,2025-08-17,State Electricity Board,District Engineer
69,East Godavari,Timothypalli,74,95,20.633440129370705,6,Yes,83,Low,No,2025-08-02,State Electricity Board,District Engineer
70,West Godavari,Nicolepalli,71,99,22.555824330328825,9,Yes,93,Moderate,Yes,2025-08-11,State Electricity Board,Gram Panchayat Officer
71,Krishna,Anthonypalli,82,62,18.017315030791547,1,No,99,Low,No,2025-08-10,State Electricity Board,Gram Panchayat Officer
72,Prakasam,Glendapalli,81,75,23.41856018831859,2,Partial,97,Low,Yes,2025-07-31,State Electricity Board,District Engineer
73,East Godavari,Justinpalli,91,51,21.910567678298015,10,Yes,93,High,Yes,2025-08-09,State Electricity Board,Gram Panchayat Officer
74,Vizianagaram,Haroldpalli,82,88,18.24525980028215,3,Partial,96,Low,Yes,2025-07-25,State Electricity Board,District Engineer
75,Visakhapatnam,Emilypalli,78,65,23.05288114988927,9,No,82,High,No,2025-08-12,State Electricity Board,District Engineer
76,Prakasam,Sarahpalli,74,86,18.48695919520222,4,Yes,93,Moderate,Yes,2025-08-08,State Electricity Board,District Engineer
77,Guntur,Tracipalli,81,75,21.343080277061375,6,No,92,Moderate,Yes,2025-08-12,State Electricity Board,District Engineer
78,Kurnool,Nicholaspalli,92,75,23.579169324918315,2,Partial,96,Moderate,No,2025-08-13,State Electricity Board,District Engineer
79,Anantapur,Jonathanpalli,79,87,19.72163834179057,5,No,100,Low,No,2025-07-25,State Electricity Board,Gram Panchayat Officer
80,Kurnool,Samanthapalli,82,62,22.109146862007805,10,Yes,87,High,No,2025-08-13,State Electricity Board,District Engineer
81,Krishna,Patriciapalli,79,91,21.627110453408754,3,No,86,Low,Yes,2025-08-12,State Electricity Board,District Engineer
82,Chittoor,Jacobpalli,83,57,18.530757902362243,3,No,86,Moderate,Yes,2025-07-26,State Electricity Board,Independent Auditor
83,Nellore,Tinapalli,80,91,21.328831569645985,6,No,84,Low,Yes,2025-08-07,State Electricity Board,Independent Auditor
84,Kurnool,Joshuapalli,85,88,23.702226058568506,10,Yes,99,Moderate,Yes,2025-08-04,State Electricity Board,District Engineer
85,Nellore,Adampalli,93,69,23.444639227717843,2,Partial,99,High,No,2025-08-16,State Electricity Board,District Engineer
86,Prakasam,Pamelapalli,76,85,20.033012858256605,4,Yes,89,Moderate,Yes,2025-07-27,State Electricity Board,Gram Panchayat Officer
87,Chittoor,Kevinpalli,91,53,20.18802302472124,4,Yes,87,Moderate,Yes,2025-07-25,State Electricity Board,District Engineer
88,Vizianagaram,Cherylpalli,95,94,19.445313784966544,2,Partial,91,High,No,2025-08-12,State Electricity Board,District Engineer
89,Chittoor,Karenpalli,81,96,19.602457092842233,8,Partial,92,High,No,2025-08-09,State Electricity Board,Gram Panchayat Officer
90,Krishna,Frankpalli,95,79,20.408259790546886,5,Partial,100,Moderate,Yes,2025-08-13,State Electricity Board,District Engineer
91,Anantapur,Matthewpalli,83,73,21.38590601707346,5,No,92,High,No,2025-07-25,State Electricity Board,District Engineer
92,West Godavari,Carolpalli,83,63,23.43566864492106,3,Yes,85,Moderate,No,2025-08-13,State Electricity Board,District Engineer
93,West Godavari,Markpalli,87,94,23.44955237245199,10,No,99,Moderate,Yes,2025-07-29,State Electricity Board,Gram Panchayat Officer
94,West Godavari,Derekpalli,75,98,20.394605737743284,3,No,91,High,No,2025-08-12,State Electricity Board,Gram Panchayat Officer
95,YSR Kadapa,Josephpalli,97,78,19.090343137659506,4,Yes,94,Moderate,Yes,2025-08-17,State Electricity Board,Gram Panchayat Officer
96,Kurnool,Anthonypalli,94,95,21.53100791516747,2,No,85,Moderate,Yes,2025-07-26,State Electricity Board,Gram Panchayat Officer
97,YSR Kadapa,Stephaniepalli,71,92,23.721941661750016,9,Partial,86,Low,Yes,2025-07-25,State Electricity Board,Gram Panchayat Officer
98,Vizianagaram,Lisapalli,96,57,19.805984561596134,6,No,86,High,Yes,2025-08-10,State Electricity Board,Independent Auditor
99,Nellore,Jorgepalli,83,64,21.946712885960334,8,Yes,83,High,Yes,2025-08-24,State Electricity Board,Independent Auditor
100,East Godavari,Vanessapalli,90,93,22.38522385606089,8,Partial,91,Low,Yes,2025-07-26,State Electricity Board,District Engineer
101,Prakasam,Amberpalli,72,73,22.379336783989494,8,Yes,97,Moderate,No,2025-08-19,State Electricity Board,District Engineer
102,West Godavari,Jeffpalli,81,92,19.67616090502401,3,No,96,Moderate,No,2025-08-16,State Electricity Board,Independent Auditor
103,Prakasam,Robertpalli,90,93,20.988331901219908,2,No,86,High,Yes,2025-07-28,State Electricity Board,Independent Auditor
104,Visakhapatnam,Jonpalli,99,93,18.151890442885502,9,No,90,High,Yes,2025-08-17,State Electricity Board,Gram Panchayat Officer
105,Krishna,Richardpalli,84,78,18.792341287909657,7,No,90,Moderate,Yes,2025-08-18,State Electricity Board,Gram Panchayat Officer
106,Srikakulam,Calvinpalli,70,57,19.67194407780588,1,Partial,81,High,No,2025-07-29,State Electricity Board,District Engineer
107,Krishna,Jamespalli,96,78,23.59457416252836,2,Yes,91,Moderate,Yes,2025-08-23,State Electricity Board,District Engineer
108,Krishna,Marissapalli,99,59,20.903069608941742,3,Partial,84,Low,No,2025-08-19,State Electricity Board,Gram Panchayat Officer
109,Chittoor,Mitchellpalli,84,92,23.08009126538171,4,Yes,93,Low,No,2025-08-17,State Electricity Board,Independent Auditor
110,Anantapur,Robertpalli,92,100,18.74050738375959,4,No,96,High,Yes,2025-08-09,State Electricity Board,District Engineer
111,Anantapur,Michaelpalli,99,52,19.190756907535633,4,No,99,Moderate,No,2025-08-02,State Electricity Board,District Engineer
112,YSR Kadapa,Nicholaspalli,86,99,20.344592534423334,1,Partial,100,Low,No,2025-07-30,State Electricity Board,District Engineer
113,Kurnool,Sarahpalli,81,58,22.31481896520535,10,No,86,Low,Yes,2025-08-19,State Electricity Board,District Engineer
114,East Godavari,Alexispalli,90,94,22.625146946967313,8,Yes,99,Low,Yes,2025-08-24,State Electricity Board,Gram Panchayat Officer
115,East Godavari,Amandapalli,81,80,22.147139341838333,4,No,87,Low,Yes,2025-08-11,State Electricity Board,Gram Panchayat Officer
116,West Godavari,Douglaspalli,72,82,20.1000484215614,1,No,92,Low,Yes,2025-08-07,State Electricity Board,Gram Panchayat Officer
117,Kurnool,Jamespalli,71,82,19.124625312794297,10,No,83,High,Yes,2025-07-29,State Electricity Board,District Engineer
118,Vizianagaram,Melaniepalli,82,52,18.59202173415539,8,Yes,84,Moderate,Yes,2025-08-13,State Electricity Board,Independent Auditor
119,YSR Kadapa,Crystalpalli,97,85,19.333568255288082,9,Partial,97,High,Yes,2025-08-02,State Electricity Board,District Engineer
120,Guntur,Michellepalli,100,81,21.99732384653788,7,Partial,88,High,No,2025-07-31,State Electricity Board,Gram Panchayat Officer
121,East Godavari,Bradleypalli,85,62,19.94587108981384,5,Yes,84,Low,Yes,2025-08-02,State Electricity Board,District Engineer
122,Guntur,Kylepalli,74,60,23.51785588467438,9,Yes,100,Low,No,2025-08-16,State Electricity Board,District Engineer
123,Nellore,Brendapalli,81,85,23.942337185309214,10,Yes,100,Low,Yes,2025-08-01,State Electricity Board,Gram Panchayat Officer
124,Vizianagaram,Melindapalli,82,53,20.26216163559439,10,No,86,Moderate,Yes,2025-07-27,State Electricity Board,Gram Panchayat Officer
125,Visakhapatnam,Sarahpalli,77,90,22.74213475236564,8,Yes,82,High,Yes,2025-08-07,State Electricity Board,District Engineer
126,Chittoor,Lisapalli,78,75,22.102045243664804,8,No,83,Low,Yes,2025-08-09,State Electricity Board,Independent Auditor
127,Vizianagaram,Russellpalli,80,64,23.14063111955928,5,Yes,100,High,No,2025-08-20,State Electricity Board,District Engineer
128,East Godavari,Jakepalli,98,92,18.43042258410535,7,Yes,92,High,Yes,2025-08-08,State Electricity Board,Gram Panchayat Officer
129,Chittoor,Juliapalli,91,75,19.37543162275451,8,Partial,91,Moderate,Yes,2025-08-14,State Electricity Board,Independent Auditor
130,East Godavari,Tracypalli,78,100,20.856863381491582,6,No,88,High,Yes,2025-07-30,State Electricity Board,District Engineer
131,Chittoor,Brettpalli,99,90,21.958129408983563,6,Yes,93,High,No,2025-08-22,State Electricity Board,District Engineer
132,Kurnool,Yolandapalli,88,99,23.509871974880863,6,No,93,Moderate,Yes,2025-08-06,State Electricity Board,Independent Auditor
133,Vizianagaram,Lisapalli,72,86,22.32537913513073,10,Yes,98,Moderate,No,2025-08-07,State Electricity Board,Gram Panchayat Officer
134,Srikakulam,Melissapalli,81,61,18.361188745967763,1,Yes,80,Moderate,Yes,2025-08-11,State Electricity Board,District Engineer
135,West Godavari,Taylorpalli,91,50,18.426723880592704,8,Yes,84,High,Yes,2025-08-20,State Electricity Board,Gram Panchayat Officer
136,East Godavari,Briannapalli,72,62,21.429441746040474,7,Partial,92,Moderate,No,2025-08-12,State Electricity Board,District Engineer
137,Srikakulam,Jonathanpalli,88,83,20.847398812276992,2,Yes,93,Moderate,No,2025-08-17,State Electricity Board,District Engineer
138,Srikakulam,Andrewpalli,95,88,23.910539780728126,3,Yes,94,High,No,2025-08-03,State Electricity Board,District Engineer
139,Visakhapatnam,Lancepalli,84,71,22.172717239414556,9,Partial,99,Moderate,No,2025-08-13,State Electricity Board,District Engineer
140,Vizianagaram,Jamespalli,96,90,23.615816304445485,10,Partial,89,Low,Yes,2025-08-05,State Electricity Board,District Engineer
141,Kurnool,Donaldpalli,90,99,20.29338742772411,5,Yes,80,High,No,2025-08-19,State Electricity Board,District Engineer
142,Visakhapatnam,Melissapalli,73,59,18.274084128076115,2,Partial,82,Moderate,Yes,2025-07-31,State Electricity Board,Gram Panchayat Officer
143,Visakhapatnam,Shellypalli,85,74,19.633724659376767,5,Partial,100,Moderate,No,2025-08-09,State Electricity Board,District Engineer
144,Vizianagaram,Reneepalli,92,53,18.00714366765084,7,Partial,94,Moderate,No,2025-08-15,State Electricity Board,Independent Auditor
145,Guntur,Johnpalli,91,98,20.61155062152796,7,No,98,Moderate,No,2025-07-26,State Electricity Board,Gram Panchayat Officer
146,YSR Kadapa,Davidpalli,98,55,20.518737531433214,4,No,91,Moderate,Yes,2025-08-16,State Electricity Board,Gram Panchayat Officer
147,West Godavari,Jessicapalli,71,51,20.44023626644599,6,No,87,Moderate,Yes,2025-08-23,State Electricity Board,Independent Auditor
148,Prakasam,Bryanpalli,93,74,23.85030896689294,10,No,99,Low,No,2025-08-10,State Electricity Board,District Engineer
149,Visakhapatnam,Robertpalli,73,90,21.392595901343547,6,Yes,98,High,No,2025-08-17,State Electricity Board,Gram Panchayat Officer
150,Chittoor,Sheilapalli,76,53,22.16832895745166,10,No,80,Low,No,2025-08-13,State Electricity Board,District Engineer
151,Prakasam,Sharonpalli,75,83,18.966613656103874,7,Partial,86,Moderate,No,2025-08-17,State Electricity Board,District Engineer
152,Prakasam,Margaretpalli,97,70,21.68448911413465,9,Partial,97,High,No,2025-08-05,State Electricity Board,Gram Panchayat Officer
153,West Godavari,Mauricepalli,81,68,20.48368503112163,7,Yes,89,Moderate,No,2025-07-28,State Electricity Board,Gram Panchayat Officer
154,YSR Kadapa,Denisepalli,93,64,19.844349311696142,5,Yes,89,High,Yes,2025-08-12,State Electricity Board,Independent Auditor
155,Vizianagaram,Thomaspalli,99,88,21.534529577698773,10,Yes,88,Moderate,No,2025-08-15,State Electricity Board,District Engineer
156,West Godavari,Emilypalli,88,67,23.262440550770663,5,Yes,96,High,Yes,2025-08-20,State Electricity Board,District Engineer
157,Vizianagaram,Jenniferpalli,71,87,19.96912803503145,7,Yes,99,High,No,2025-08-01,State Electricity Board,District Engineer
158,Visakhapatnam,Scottpalli,88,92,22.905434513085126,9,Partial,88,Low,Yes,2025-08-19,State Electricity Board,District Engineer
159,Prakasam,Williampalli,100,50,23.98623816196097,10,No,84,Low,Yes,2025-08-21,State Electricity Board,Gram Panchayat Officer
160,Guntur,Cindypalli,94,52,20.87358111114011,5,Partial,91,Low,No,2025-08-04,State Electricity Board,Independent Auditor
161,Anantapur,Aaronpalli,95,76,20.223264157921587,8,Partial,84,Low,Yes,2025-08-17,State Electricity Board,District Engineer
162,Prakasam,Marypalli,71,69,19.66882599443279,7,No,92,Low,Yes,2025-08-01,State Electricity Board,Independent Auditor
163,Guntur,Jonathanpalli,77,86,18.32764608366611,1,Yes,91,Low,Yes,2025-07-31,State Electricity Board,District Engineer
164,Anantapur,Richardpalli,76,96,23.182646623021554,6,No,91,High,No,2025-08-18,State Electricity Board,Gram Panchayat Officer
165,Guntur,Jopalli,88,71,21.768026665339207,8,Yes,97,Moderate,Yes,2025-07-26,State Electricity Board,Independent Auditor
166,Kurnool,Jackpalli,89,63,23.66629100153376,5,Partial,91,High,No,2025-08-18,State Electricity Board,Gram Panchayat Officer
167,Srikakulam,Brianapalli,92,70,20.379292639548463,4,Yes,82,Low,No,2025-08-23,State Electricity Board,District Engineer
168,Chittoor,Suzannepalli,79,61,19.142962209678302,7,Yes,84,Low,Yes,2025-08-18,State Electricity Board,Gram Panchayat Officer
169,Anantapur,Vanessapalli,84,68,19.09866957061543,7,Yes,100,Low,Yes,2025-08-15,State Electricity Board,District Engineer
170,Chittoor,Robinpalli,91,78,22.285233717237958,7,Partial,92,High,Yes,2025-08-23,State Electricity Board,Independent Auditor
171,Vizianagaram,Tarapalli,95,91,19.882755415622395,3,Partial,88,Moderate,Yes,2025-08-20,State Electricity Board,Independent Auditor
172,Kurnool,Jessepalli,72,91,21.975985048962187,8,No,89,Low,No,2025-08-16,State Electricity Board,District Engineer
173,Krishna,Jonathonpalli,71,69,19.24703594333555,6,Yes,84,Low,No,2025-07-25,State Electricity Board,District Engineer
174,Nellore,Jessicapalli,75,60,22.890400419790353,10,No,93,Moderate,No,2025-08-19,State Electricity Board,Gram Panchayat Officer
175,YSR Kadapa,Michaelpalli,94,71,22.378996292001336,3,Yes,86,Low,Yes,2025-08-05,State Electricity Board,District Engineer
176,Guntur,Sandypalli,70,58,18.097450292160005,6,No,98,Low,Yes,2025-08-18,State Electricity Board,District Engineer
177,Visakhapatnam,Margaretpalli,77,51,19.316757523891415,5,No,94,Moderate,Yes,2025-08-01,State Electricity Board,Independent Auditor
178,YSR Kadapa,Jenniferpalli,73,92,23.405422185112965,8,No,80,Moderate,No,2025-08-20,State Electricity Board,Gram Panchayat Officer
179,Krishna,Ericpalli,89,89,20.084240768145193,6,Yes,81,Low,No,2025-08-04,State Electricity Board,Gram Panchayat Officer
180,Visakhapatnam,Amandapalli,76,53,18.4694514397485,3,Yes,98,High,No,2025-07-29,State Electricity Board,Gram Panchayat Officer
181,East Godavari,Christinapalli,75,65,18.17426031306914,5,Partial,84,Low,Yes,2025-08-07,State Electricity Board,Gram Panchayat Officer
182,YSR Kadapa,Ericpalli,84,54,23.67928808803285,10,Partial,80,Low,No,2025-08-02,State Electricity Board,District Engineer
183,Visakhapatnam,Paulpalli,100,60,21.971504366266817,3,No,81,Moderate,Yes,2025-08-10,State Electricity Board,Independent Auditor
184,Chittoor,Jamespalli,83,66,21.963323096175394,9,No,83,Moderate,No,2025-08-14,State Electricity Board,Gram Panchayat Officer
185,Visakhapatnam,Jillpalli,83,56,21.7337915354964,10,Yes,88,Low,No,2025-08-13,State Electricity Board,Independent Auditor
186,Anantapur,Samuelpalli,87,64,21.220937618869417,8,Yes,95,High,Yes,2025-08-14,State Electricity Board,Independent Auditor
187,Nellore,Kathrynpalli,97,54,19.079272277156345,6,Partial,81,High,No,2025-08-12,State Electricity Board,Gram Panchayat Officer
188,Guntur,Douglaspalli,94,84,19.690484525827088,5,Partial,84,Low,No,2025-08-17,State Electricity Board,Independent Auditor
189,Srikakulam,Karenpalli,76,78,21.4404205427805,2,Yes,83,Low,Yes,2025-08-22,State Electricity Board,District Engineer
190,Visakhapatnam,Robinpalli,73,83,20.74733765271352,9,Yes,87,High,No,2025-08-02,State Electricity Board,Independent Auditor
191,Guntur,Emilypalli,83,97,21.685144456475822,2,No,81,Moderate,No,2025-08-02,State Electricity Board,District Engineer
192,Srikakulam,Jessicapalli,95,90,23.595194409439053,10,Yes,91,Low,No,2025-08-02,State Electricity Board,Gram Panchayat Officer
193,West Godavari,Markpalli,75,88,19.91003661164129,2,No,83,Low,Yes,2025-08-20,State Electricity Board,Gram Panchayat Officer
194,Kurnool,Thomaspalli,100,74,22.490629758888208,4,Yes,97,Moderate,Yes,2025-08-19,State Electricity Board,District Engineer
195,Vizianagaram,Jasminepalli,81,68,18.897921106711415,2,No,85,Moderate,No,2025-08-03,State Electricity Board,Gram Panchayat Officer
196,Guntur,Troypalli,88,91,20.295000844448687,4,Yes,80,High,Yes,2025-08-18,State Electricity Board,Gram Panchayat Officer
197,Prakasam,Chloepalli,79,69,20.656911710375955,1,No,96,High,No,2025-08-08,State Electricity Board,Independent Auditor
198,Chittoor,Shannonpalli,88,71,18.07046141941676,8,Yes,85,Low,No,2025-08-05,State Electricity Board,Independent Auditor
199,Guntur,Jeremypalli,82,99,21.04492104132569,6,Yes,99,Moderate,Yes,2025-07-30,State Electricity Board,Independent Auditor
200,Vizianagaram,Ericpalli,84,81,19.544271944042176,3,No,93,High,Yes,2025-08-19,State Electricity Board,Independent Auditor
201,Kurnool,Scottpalli,93,70,20.484689052395737,5,Yes,94,Moderate,No,2025-08-14,State Electricity Board,District Engineer
202,East Godavari,Sharipalli,75,72,21.40343236119796,1,No,82,Moderate,No,2025-08-07,State Electricity Board,District Engineer
203,Vizianagaram,Margaretpalli,74,88,18.80292736118035,6,Partial,85,Low,No,2025-08-21,State Electricity Board,District Engineer
204,Krishna,Alisonpalli,80,99,20.46307630323021,1,Yes,98,Moderate,No,2025-07-31,State Electricity Board,Independent Auditor
205,Srikakulam,Patrickpalli,92,87,20.413339163329812,7,Yes,94,High,Yes,2025-08-04,State Electricity Board,Gram Panchayat Officer
206,Nellore,Kaitlynpalli,75,89,22.33631919160451,3,Yes,93,Moderate,Yes,2025-08-14,State Electricity Board,Independent Auditor
207,Visakhapatnam,Lindseypalli,78,89,21.08623235048657,9,No,83,Low,Yes,2025-08-01,State Electricity Board,District Engineer
208,Vizianagaram,Christopherpalli,77,91,21.229858641041062,1,Yes,88,High,Yes,2025-08-02,State Electricity Board,District Engineer
209,Chittoor,Michellepalli,72,91,18.502247758661817,3,Yes,85,Low,No,2025-08-01,State Electricity Board,Gram Panchayat Officer
210,East Godavari,Rachelpalli,86,92,23.47017913535695,2,Partial,91,High,Yes,2025-07-28,State Electricity Board,Gram Panchayat Officer
